year,age_group,sex,education_attainment_level,nuts2_region,unemployment_rate
2019,15 - 24 years,Both sexes,Level of education - not stated,Eastern and Midland,
2019,15 - 24 years,Male,Levels of Education (Levels 0-8),Northern and Western,15.3
2019,15 - 24 years,Male,Levels of Education (Levels 0-8),Southern,15.2
2019,15 - 24 years,Male,Levels of Education (Levels 0-8),Eastern and Midland,13.1
2019,15 - 24 years,Male,Less than primary (Level 0),Northern and Western,
2019,15 - 24 years,Male,Less than primary (Level 0),Southern,
2019,15 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,
2019,15 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,28.6
2019,15 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,31.5
2019,15 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,28.0
2019,15 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,12.1
2019,15 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,13.7
2019,15 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,12.2
2019,15 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,
2019,15 - 24 years,Male,Tertiary education (Levels 5-8),Southern,
2019,15 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,8.0
2019,15 - 24 years,Male,Level of education - not stated,Northern and Western,
2019,15 - 24 years,Male,Level of education - not stated,Southern,
2019,15 - 24 years,Male,Level of education - not stated,Eastern and Midland,
2019,15 - 24 years,Female,Levels of Education (Levels 0-8),Northern and Western,8.8
2019,15 - 24 years,Female,Levels of Education (Levels 0-8),Southern,12.1
2019,15 - 24 years,Female,Levels of Education (Levels 0-8),Eastern and Midland,10.3
2019,15 - 24 years,Female,Less than primary (Level 0),Northern and Western,
2019,15 - 24 years,Female,Less than primary (Level 0),Southern,
2019,15 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,
2019,15 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,
2019,15 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,20.8
2019,15 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,27.4
2019,15 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,
2019,15 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,11.9
2019,15 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,8.9
2019,15 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,
2019,15 - 24 years,Female,Tertiary education (Levels 5-8),Southern,
2019,15 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,6.7
2019,15 - 24 years,Female,Level of education - not stated,Northern and Western,
2019,15 - 24 years,Female,Level of education - not stated,Southern,
2019,15 - 24 years,Female,Level of education - not stated,Eastern and Midland,
2019,25 - 54 years,Both sexes,Levels of Education (Levels 0-8),Northern and Western,3.8
2019,25 - 54 years,Both sexes,Levels of Education (Levels 0-8),Southern,4.6
2019,25 - 54 years,Both sexes,Levels of Education (Levels 0-8),Eastern and Midland,4.0
2019,25 - 54 years,Both sexes,Less than primary (Level 0),Northern and Western,
2019,25 - 54 years,Both sexes,Less than primary (Level 0),Southern,
2019,25 - 54 years,Both sexes,Less than primary (Level 0),Eastern and Midland,
2019,25 - 54 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,6.6
2019,25 - 54 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,10.3
2019,25 - 54 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,7.9
2019,25 - 54 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,4.3
2019,25 - 54 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,5.0
2019,25 - 54 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,5.0
2019,25 - 54 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,3.0
2019,25 - 54 years,Both sexes,Tertiary education (Levels 5-8),Southern,3.3
2019,25 - 54 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,2.9
2019,25 - 54 years,Both sexes,Level of education - not stated,Northern and Western,
2019,25 - 54 years,Both sexes,Level of education - not stated,Southern,
2019,25 - 54 years,Both sexes,Level of education - not stated,Eastern and Midland,
2019,25 - 54 years,Male,Levels of Education (Levels 0-8),Northern and Western,3.8
2019,25 - 54 years,Male,Levels of Education (Levels 0-8),Southern,4.9
2019,25 - 54 years,Male,Levels of Education (Levels 0-8),Eastern and Midland,4.0
2019,25 - 54 years,Male,Less than primary (Level 0),Northern and Western,
2019,25 - 54 years,Male,Less than primary (Level 0),Southern,
2019,25 - 54 years,Male,Less than primary (Level 0),Eastern and Midland,
2019,25 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,7.0
2019,25 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Southern,10.4
2019,25 - 54 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,8.7
2019,25 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,3.9
2019,25 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,4.5
2019,25 - 54 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,4.9
2019,25 - 54 years,Male,Tertiary education (Levels 5-8),Northern and Western,2.8
2019,25 - 54 years,Male,Tertiary education (Levels 5-8),Southern,3.7
2019,25 - 54 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,2.6
2019,25 - 54 years,Male,Level of education - not stated,Northern and Western,
2019,25 - 54 years,Male,Level of education - not stated,Southern,
2019,25 - 54 years,Male,Level of education - not stated,Eastern and Midland,
2019,25 - 54 years,Female,Levels of Education (Levels 0-8),Northern and Western,3.9
2019,25 - 54 years,Female,Levels of Education (Levels 0-8),Southern,4.3
2019,25 - 54 years,Female,Levels of Education (Levels 0-8),Eastern and Midland,3.9
2019,25 - 54 years,Female,Less than primary (Level 0),Northern and Western,
2019,25 - 54 years,Female,Less than primary (Level 0),Southern,
2019,25 - 54 years,Female,Less than primary (Level 0),Eastern and Midland,
2019,25 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,
2019,25 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Southern,10.0
2019,25 - 54 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,6.2
2019,25 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,4.8
2019,25 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,5.8
2019,25 - 54 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,5.2
2019,25 - 54 years,Female,Tertiary education (Levels 5-8),Northern and Western,3.2
2019,25 - 54 years,Female,Tertiary education (Levels 5-8),Southern,2.9
2019,25 - 54 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,3.2
2019,25 - 54 years,Female,Level of education - not stated,Northern and Western,
2019,25 - 54 years,Female,Level of education - not stated,Southern,
2019,25 - 54 years,Female,Level of education - not stated,Eastern and Midland,
2019,55 - 74 years,Both sexes,Levels of Education (Levels 0-8),Northern and Western,3.3
2019,55 - 74 years,Both sexes,Levels of Education (Levels 0-8),Southern,3.6
2019,55 - 74 years,Both sexes,Levels of Education (Levels 0-8),Eastern and Midland,2.9
2019,55 - 74 years,Both sexes,Less than primary (Level 0),Northern and Western,
2019,55 - 74 years,Both sexes,Less than primary (Level 0),Southern,
2019,55 - 74 years,Both sexes,Less than primary (Level 0),Eastern and Midland,
2019,55 - 74 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,
2019,55 - 74 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,4.5
2019,55 - 74 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,3.6
2019,55 - 74 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,4.8
2019,55 - 74 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,3.4
2019,55 - 74 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,3.5
2019,55 - 74 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,
2019,55 - 74 years,Both sexes,Tertiary education (Levels 5-8),Southern,3.0
2019,55 - 74 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,2.1
2019,55 - 74 years,Both sexes,Level of education - not stated,Northern and Western,
2019,55 - 74 years,Both sexes,Level of education - not stated,Southern,
2019,55 - 74 years,Both sexes,Level of education - not stated,Eastern and Midland,
2019,55 - 74 years,Male,Levels of Education (Levels 0-8),Northern and Western,2.9
2019,55 - 74 years,Male,Levels of Education (Levels 0-8),Southern,3.6
2019,55 - 74 years,Male,Levels of Education (Levels 0-8),Eastern and Midland,3.1
2019,55 - 74 years,Male,Less than primary (Level 0),Northern and Western,
2019,55 - 74 years,Male,Less than primary (Level 0),Southern,
2019,55 - 74 years,Male,Less than primary (Level 0),Eastern and Midland,
2019,55 - 74 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,
2019,55 - 74 years,Male,Primary and lower secondary education (Levels 1-2),Southern,4.4
2019,55 - 74 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,3.3
2019,55 - 74 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,
2019,55 - 74 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,
2019,55 - 74 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,4.0
